,Authors,Title,Cities,Publisher,Years,Fund,Segni
2389,"Shakespeare, William", Vita di Beethoven,Torino,Rizzoli,1947,BTB Segn. 1798 ,Invio ad Adele Gadda Lehr.
2390,"Shakespeare, William",  Vita di Michelangelo,Il pensiero politico italiano dal,Rizzoli,1951,BTB Segn. 1904 ,nan
2391,"Shakespeare, William",La provincia di Milano,Torino,Paravia,1942,BTB Segn. 2055-2056 ,nan
2392,"Shakespeare, William",Opuscoli filosofici,Torino,Opuscoli filosofici.,1925,BTB Segn. 1575 ,Parzialmente intonso.
2393,"Shakespeare, William",Norma,Bari,Barion,1948,BTM ,Sottolineature e postille.
2394,"Shakespeare, William", La sonnambula. Introduzione di E. Bontempelli,"Milano, Mondadori",ERTA,1951,BTB Segn. 1959 ,nan
2395,"Shakespeare, William",Romanzi e racconti dell’Otto cento,"Milano, Mondadori",Romanzi e racconti dell’Otto cento.,1923,BTB Segn. 2133 ,nan
2396,"Shakespeare, William",Sui triangoli con due bisettrici diseguali,"MilanoPalermo, Sandron",Zanichelli,1943,BTB Segn. 2465 ,Nota di possesso autografa in data 14.07.1909.
2397,"Shakespeare, William",Milano che sfugge,"RomaFirenzeMilano, Editrice Universitaria",Rechiedei,1910,BTB Segn. 1434 ,nan
2398,"Shakespeare, William","La Chanson de Roland. Modena, Soc. Tip. Mod","Madrid, Peninsular",Soc. Tip. Mod.,1954,BAL ,nan
2399,"Shakespeare, William","Chi va al mulino s’infarina. Firenze, Vallecchi, s.d. («Biblioteca dei ragazzi»: 17)","Verona, Società tipografica",s.d. («Biblioteca dei ragazzi»: 17).,1958,BTB Segn. 658 ,Dedica dell’autore in data 6.12.1956.
2400,"Shakespeare, William",Il libro di un teppista,Paris,Vallecchi,1952,BTB Segn. Op. 97 ,nan
2401,"Shakespeare, William", Via Toscanella,"Pistoia, Fratelli Bracali",Vallecchi,1957,BTB Segn. 1405 ,Intonso.
2402,"Shakespeare, William",Storia della letteratura americana,L’Impronta,ERI,1951,BAL ,Biglietto omaggio di Giovanni Scheiwiller.
2403,"Shakespeare, William",L’acqua felice,Bari,Schwarz,1972,BAL ,nan
2404,"Shakespeare, William",La disarmonia prestabilita: studio su                    Gadda,"Milano, Bompiani",Einaudi,1940,BTB Segn. 2093 ,Parzialmente intonso.
2405,"Shakespeare, William",Noterelle dannunziane,Firenze,Sigla  Effe,1950,BTB Segn. 118 ,Postille.
2406,"Shaw, George Bernard", Saggi dannunziani,"Firenze, Vallec chi",Del Mastro,1942,BTB Segn. Op. 117 ,nan
2407,"Shelley, Percy Bysshe",Professione: mitomane,Firenze,Vallecchi,1952,BAL ,nan
2408,". Lanciano, Carabba,",Mezzo contadino,Firenze,Neri Pozza,1963,BTB Segn. Op. 58-59 ,nan
2409,". Lanciano, Carabba,",Storia della letteratura italiana per uso dei licei,"Viareggio, Il cavalluccio marino editore",Vallardi,1956,BTB Segn. 855 ,nan
2410,". Lanciano, Carabba,",Lazzaro Spallanzani e le origini della biologia sperimentale. Traduzione di G. Barberis,"Alba, Pia società San Paolo",Einaudi,1934,BAL ,Dedica dell’autore.
2411,"Shikibu, Murasaki",Spinoza,"Firenze, Vallecchi",Athena,1937,BTB Segn. 1694-1695 ,nan
2412,"SIAE 1882/1972. Roma, SIAE,",Herder précurseur de Darwin? Paris,"Firenze, Nuova Italia",Les Belles Lettres,1936,BTB Segn. Op. 99 ,Con lettera dell’autore a Gadda in data 9.1963 Salerno.
2413,"Sichirollo, Angelo",Vivre en Amérique,Estratto da «Nuova Antologia»,Stock,1936,BTB Segn. Op. 101 ,nan
2414,"Siciliano, Enzo",Ce bon monsieur Danton,"Milano, Garzanti",Plon,1933,BTB Segn. Op. 119 ,Dedica dell’autore.
2415,"Siciliano, Enzo","Rousseau, JeanJacques Les confessions",Firenze,Gallimard,1908,BTB Segn. 1903 ,nan
2416,"Siciliano, Enzo", Il contratto sociale,Milano,Einaudi,1915,BAL ,nan
2417,"Siciliano, Enzo"," Du contrat social ou principes de droit politique. Paris, Flammarion, s.d",Milano,s.d.,1961,BTB Segn. 659 ,Nota di possesso autografa di Enrico Gadda in data 18.08.1917.
2418,"Siciliano, Italo"," La nouvelle Héloïse. Paris, Didot, s.d",Torino,s.d.,1968,BTB Segn. 661 ,Dedica dell’autore in data 5.1947.
2419,"Siebeck, Hermann", Œuvres complètes,"Roma, Edizioni della Cometa",Lejeune,1953,BTB Segn. 660 ,nan
2420,"Siebzehner Vivanti, Giorgio",Storia dell’atomo. La fisica del l’atomo nella guerra e nella pace,Milano,Casini,1912,BTB Segn. 661 ,nan
2421,"Sienkiewicz, Enrico","Per diventar caporale. Manuale teoricopratico per i soldati delle armi di fanteria (linea, granatieri, bersaglieri, alpini) del genio e del corpo arconautico. Con le recenti varianti emanate dal Ministero della Guerra","Milano, All’insegna del pesce d’oro",Trevisini,1928,BTB Segn. 662 ,Dedica dell’autore in data 5.1954.
2422,"Signorini, Telemaco",Ai tempi di re Gioachino,Venezia,Palmaverde,1928,BAL ,Dedica dell’autore in data 19.5.1968.
2423,"Silva, Pietro",La signorina,,Baldini e Castoldi,1843,BAL ,nan
2424,"Silvestri, Mario",L’amour en Allemagne. Choses vues,,Les Editions de France,1895,BTB Segn. 880 ,nan
2425,"Simenon, Georges",Giordano Bruno,Milano,Dell’Ara,1913,BTB Segn. 881 ,nan
2426,"Simeoni, Luigi",Rudolf Levy,Bari,s.d. (ma:,1959,BAL ,nan
2427,"Simonet, Francisco Javier",Il numero uno,"Milano, Garzanti",Garzanti,1952,BTB Segn. 2164 ,nan
2428,"Sinigaglia, Sandro", Il paese delle ombre lunghe,"Milano, All’insegna del pesce d’oro",Garzanti,1950,BTB Segn. Op. 126 ,nan
2429,"Sinisgalli, Leonardo",Teatro,Roma,EspasaCalpe,1919,BTB Segn. 663 ,Sottolineature.
2430,"Sinisgalli, Leonardo",Pipelines,,Tubi Togni,1945,BTB Segn. 1300 ,nan
2431,"Sirchio, Giuseppe",La rinascita dell’astrologia,Milano,Vallecchi,1938,BTB Segn. 1307 ,nan
2432,"Sirovich, C.",Gli Ictimoli ed i Bessi nel Vercellese e nel Novarese,Milano,Rusconi,1939,BTB Segn. 1298 ,nan
2433,"Smith, William", Lodovico il Moro e sua cattura. Pagine di storia patria,,Rusconi,1940,BAL ,nan
2434,"Soavi, Giorgio", Le origini novaresi. Parte I,"Milano, Dalla Società Tipografica de’ Classici Italiani",Rusconi,1947,BTB Segn. 1301 ,nan
2435,"Soavi, Giorgio",Profilo d’un umanesimo cristiano,Milano,Einaudi,1930,BTM ,Timbro in gomma al frontespizio: Mitchell’s 580 Cangallo 578 Buenos Aires. Sotto lineature e postille.
2436,Società Edison. Assemblea,I principi della matematica. Traduzione di L. Geymonat,,Longanesi,1942,BTB Segn. 1302 ,nan
2437,Società Geologica Italiana., I problemi della filosofia,"Paris, Librairie Encyclopédique Roret",Sonzogno,1966,BTB Segn. 1297 ,Intonso.
2438,"Soffici, Ardengo",Il sistema solare,,Mondadori,1883,BTB Segn. 1306 ,nan
2439,"Soffici, Ardengo","Russo, Carlo Ferdinand Aristofane autore di teatro",,Olschki,1967,BTB Segn. 1308 ,Dedica del traduttore in data 5.1957.
2440,Sofocle,La critica letteraria contemporanea,Milano,Sansoni,1965,BTB Segn. 1303 ,nan
2441,Sofocle, Machiavelli,"Madison, United States Armed Forces Institute",Laterza,1972,BTB Segn. 1294 ,nan
2442,Sofocle, Personaggi dei Promessi Sposi,"Liepzig, Tauchnitz",Laterza,1953,BTB Segn. 1296 ,nan
2443,Sofocle, L’Università di Pisa e la situazione italiana ed europea,,Vallerini,1964,BTB Segn. 1295 ,nan
2444,"«Solaria» (Antologia di). Milano,",L’anconitana,Torino,Einaudi,1960,BTB Segn. 1291-1293 ,nan
2445,"Solaroli, Libero", Due dialoghi,"Bari, Laterza",Einaudi,1949,BTB Segn. 1299 ,nan
2446,"Soldati, Mario", La moscheta,Milano,Einaudi,1939,BTB Segn. 1304 ,nan
2447,"Soldini, Adriano",L’ultima battaglia,"Torino, Einaudi",Garzanti,1943,BAL ,nan
2448,"Solmi, Sergio",Preludio e canzonette,"Milano, All’insegna del pesce d’oro",Primo tempo,1929,BTB Segn. 1305 ,nan
2449,"Solmi, Sergio",Picasso,"Leipzig, Velhagen e Klasing",All’insegna del pesce d’oro,1971,BTB Segn. 1309 ,nan
2450,"Solmi, Sergio",. Prefazione di L. Venturi,Milano,La Stampa Moderna,1971,BTB Segn. 1310 ,nan
2451,"Solmi, Sergio",Il libro delle trecento novelle,"Firenze, Vallecchi",Bompiani,1931,BTB Segn. 1311 ,nan
2452,"Solmi, Sergio", Le novelle. Vol. II,Firenze,Salani,1948,BTB Segn. 1312 ,nan
2453,"Spagnoletti, Giacinto", Il trecentonovelle,"Bergamo, Istituto italiano di arti grafiche",Sansoni,1951,BAL ,nan
2454,"Spallicci, Aldo",Le Sabbat. Souvenirs d’une jeunesse orageuse,(data dell’introduzione:,Corréa,1949,BTB Segn. 2399 ,nan
2455,"Spallicci, Aldo",. s.l,Panorama della prosa italiana dal,s.n.,1929,BTB Segn. Op. 60 ,Nota di possesso autografa di Enrico Gadda in data 11.05.1910.
2456,"Spallicci, Aldo",,"Genova, Itinerari",Salani,1952,BTB Segn. 2337 ,nan
2457,"Spallicci, Aldo",,,Edizioni Paoline,1961,BTB Segn. 665 ,Dedica dell’autore in data 27.3.1970. Parzialmente intonso.
2458,"Spellanzon, Cesare"," , che contiene il Vecchio e il Nuovo Testamento",,Watts,1901,BAL ,Dedica dell’autore.
2459,"Spencer, Herbert",  ossia l’Antico        e il Nuovo Testamento,"Milano, Società Editrice Riviste Industrie Elettriche",Deposito sacre scritture,1928,BTB Segn. 666 ,Dedica dell’autore in data 26.3.1971.
2460,"Spencer, Herbert",Manuel de phrases françaises et anglaises à l’usage des classes élementaires contenant de nombreux vocabulaires des mots les plus usités servis chacun de petites phrases servant d’exercise. Accompagné de dialogues familiers,,Librairie Française,1954,BAL ,Dedica dell’autore in data 2.2.1973.
2461,"Spencer, Herbert",,"Torino, Einaudi",Anonima Romana Editoriale,1955,BTB Segn. 1148 ,nan
2462,"Spinazzola, Vittorio","SaintExupéry, Antoine de Vol de nuit. Prefazione di A. Gide",Firenze,NRFGallimard,1944,BTB Segn. 1977 ,Sottolineature.
2463,"Spinosa, Antonio","SaintJust, LouisAntoineLéon  Frammenti sulle istituzioni repubblicane. Seguito da testi inediti. Procacci. Introduzione di A. Soboul","Firenze, Vallecchi",Einaudi,1938,BAL ,Segnalibro.
2464,"Spinoza, Baruch","SaintSimon, ClaudeHenri de Rouvroy Comte de La cour de Louis XIV. Introduzione di C. Sarolea. Paris, Nelson, s.d. («Collection Nelson»: 18)",Firenze,s.d. («Collection Nelson»: 18).,1938,BAL ,nan
2465,"Spinoza, Baruch"," La cour du Régent. Paris, Crès, s.d. («Collection Gallia»: 18)",Torino,s.d. («Collection Gallia»: 18).,1938,BTB Segn. 2193 ,nan
2466,"Spinoza, Baruch","SainteBeuve, Charles Augustin de Ritratti. Con un saggio di E. Faguet","Firenze, Sansoni",Rizzoli,1938,BTB Segn. 1558 ,Intonso.
2467,"Spinoza, Baruch", Studio su Virgilio,Milano,Laterza,1942,BTB Segn. 1559 ,nan
2468,"Spinoza, Baruch",Costituenti e costituzioni in Francia,Firenze,Einaudi,1919,BAL ,nan
2469,"Spinoza, Baruch","Salas Barbadillo, Alonso Jeronimo de Novelas. La hija de Celestina. La ingeniosa Elena. Strasbourg, Heitz, s.d. («Bibliotheca romanica»: 149150)","Roma, La Voce Società Anonima Editrice",s.d. («Bibliotheca romanica»: 149150).,1934,BTB Segn. 2296 ,Nota di possesso autografa.
2470,"Spinoza, Baruch",La cronaca,"Roma, La Voce Società Anonima Editrice",Garzanti,1939,BTB Segn. 1589 ,Parzialmente intonso.
2471,"Spinoza, Baruch",Sallustio,"Bolzano, Centro di cultua  dell’Alto Adige",Minerva,1952,BTB Segn. 667 ,nan
2472,"Spir, Africano",L’abbazia di Pomposa,Firenze,Libreria dello Stato,1902,BAL ,nan
2473,"Spitzer, Leo",Leggenda e realtà di Napoleone,"Roma, Voghera",De Silva,1875,BTB Segn. 668 ,nan
2474,"Squarcia, Francesco",Id,Milano,Id. Lineamenti di storia moderna recentissima (,1910,BTB Segn. 669 ,nan
2475,"Stecchetti,", Pensiero e azione del Risorgimento,: opere esposte nelle mostre organizzate dal Centro Studi Piero della Francesca dal,Einaudi,1907,BTB Segn. Op. 102 ,nan
2476,"Steele, Richard",Id,Napoli,Id. Il pensiero politico italiano dal,1938,BTB Segn. 1489 ,Nota di possesso autografa di Adele Gadda Lehr.
2477,"Stein, Gertrude", Pio XI e la sua eredità pontificale,Firenze,Einaudi,1928,BAL ,nan
2478,"Steinbeck, John", Profilo della storia d’Europa,Milano,Einaudi,1939,BTB Segn. 670 ,Dedica dell’autore in data 11.1951.
2479,Stendhal (Henry Beyle), San Benedetto e l’Italia del suo tempo,"Oxford, University Press",Laterza,1928,BTB Segn. Op. 72 ,nan
2480,Stendhal (Henry Beyle), Storia d’Italia illustrata. III. L’Italia medievale,,s.d.,1966,BTB Segn. 2297 ,nan
2481,Stendhal (Henry Beyle), Storia d’Italia illustrata. IV. L’Italia comunale,Firenze,Mondadori,1965,BTB Segn. 671 ,nan
2482,Stendhal (Henry Beyle)," – Hühn, Eugen La Bibbia. Introduzione all’Antico e al Nuovo Testamento. Hühn",Dent & Sons,s.d. (ma:,1960,BTB Segn. 672 ,nan
2483,Stendhal (Henry Beyle),"Salvemini, Gaetano – La Piana, Giorgio La sorte dell’Italia",Firenze,Editrice Universitaria,1950,BTB Segn. 1905 ,nan
2484,"Sterne, Lawrence","Sanchez Canton, Francisco Javier  El Museo del Prado",Torino,Peninsular,1958,BTB Segn. 18  ,Sottolineature e postille.
2485,"Stifter, Adalbert",,"Firenze, Sansoni",,1939,BTB Segn. 20 Pieghe. ,nan
2486,"Stoker, Bram",  Dizionario etimologicoscientifico diviso in due parti,Milano,Società tipografica,1908,BTB Segn. 19 Postille. ,nan
2487,"Stoppani, Antonio",de l’Argot Moderne,"Firenze, Sansoni",Dauphine,1876,BTB Segn. 21 ,nan
2488,"Storia del mondo moderno. Carsten. Milano,",  Vocabolario grecoitaliano compilato ad uso delle scuole,Firenze,Fratelli Bracali,1963,BAL ,nan
2489,Storia d’Italia. I. I caratteri,"ricostruzione delle zone distrutte in torno al Ponte Vecchio. Firenze, Tip","Torino, Einaudi",s.d. (ma:,1934,BTB Segn. 1149 ,nan
2490,Storia di Milano.,San Paolo,"Torino, Einaudi",Laterza,1935,BTB Segn. 673 ,Dedica dell’autore in data 8.1957.
2491,"Storia e cultura della Locride. Messina,",Storia del tumulto dei Ciompi avvenuto in Firenze l’anno,"Firenze, San soni",Storia del tumulto dei Ciompi avvenuto in Firenze l’anno,1858,BTB Segn. 674 ,nan
2492,"Strachey, Giles Lytton",Il pensiero americano e altri saggi. Introduzione di A. Banfi,Torino,Bompiani,1948,BTB Segn. 1386 ,nan
2493,Stradario alfabetico di Napoli.,Diario (,(ma:,Diario (,1957,BTB Segn. 675 ,Dedica dell’autore in data 31.10.1950.
2494,"Straparola, Gianfrancesco", Due di loro,"Paris, Gallimard",Ca Bala,1917,BTB Segn. 1151 ,nan
2495,Studi e materiali di storia, Libertà condizionata,Firenze,Vallec chi,1961,BTB Segn. 1150 ,Dedica dell’autore.
2496,., Ombre rosse,Milano,Vallecchi,1950,BTB Segn. 884 ,Sottolineature e postille.
2497,"Stuparich, Gianni", Tre storie brevi. Disegni di O. Rosai,C,Il Fiore,1945,BTB Segn. 888 ,nan
2498,"Stura, Francesco",Breve curiosa storia del premio Viareggio,,Il cavalluccio marino editore,1931,BTB Segn. 2094 ,nan
2499,Le style Louis XIV.,Il Santo Vangelo di nostro signore Gesù Cristo e gli Atti degli Apostoli,Firenze,Pia società San Paolo,1966,BTB Segn. 2096 ,nan
2500,Sui campi di battaglia. Il,Il cuore borghese,"London, Dent",Vallecchi,1939,BTB Segn. 2097 ,nan
2501,Sulla via della pace. Trattato,Compendio di storia della letteratura italiana,Torino,Nuova Italia,1955,BTB Segn. 2095 ,nan
2502,Sull’Etna., Il sentimento umanistico e la poesia del Poliziano,Milano,Id. Il sentimento umanistico e la poesia del Poliziano. Estratto da «Nuova Antologia»,1932,BTB Segn. 1560-1564 ,nan
2503,Sul limitare. Prose e poesie,Lettera aperta,Milano,Garzanti,1924,BTB Segn. 1907 ,Parzialmente intonso.
2504,Surrey – the playground of,Storia interna della compagnia dei Peruzzi,"Milano, Garzanti",Olschki,1921,BTB Segn. 1908 ,nan
2505,"Svetonio Tranquillo, Gaio",,Milano,TCI,1941,BTB Segn. 1906 ,nan
2506,"Svetonio Tranquillo, Gaio",Storia degli Uscochi,Milano,Bettoni,1949,BTB Segn. 889 ,nan
2507,"Svetonio Tranquillo, Gaio",Lettere indiane,"Milano, Garzanti",Einaudi,1942,BTB Segn. 676 ,nan
2508,"Svevo, Italo (Ettore Schmitz)","  Dico a te, Clio",Padova,Edizioni della Cometa,1934,BTB Segn. 1916 ,nan
2509,"Svevo, Italo (Ettore Schmitz)","SavjLopez, Paolo Le origini neolatine","MilanoPalermoNapoli, Sandron",Hoepli,1951,BTB Segn. 1917 ,Postille.
2510,"Svevo, Italo (Ettore Schmitz)",Fuochi fatui,Milano,All’insegna del pesce d’oro,1960,BAL ,Nota di mano ignota «1er janvier 1920».
2511,"Svevo, Italo (Ettore Schmitz)", Pianissimo,"Milano, Casa editrice Benedetto",Neri Pozza,1969,BTM ,Sottolineature e postille.
2512,"Swift, Jonathan","Il duell del sur Panera. s.l., s.n., s.d. In copertina di cartone con titolo a penna","Firenze, Le Monnier",s.d. In copertina di cartone con titolo a penna.,1959,BTB Segn. 1918 ,Pieghe.
2513,"Swift, Jonathan","Scaffaletto III: Teatro e musica. Firenze, Sansoni Antiquariato, s.d","Roma, De Fonseca",s.d.,1958,BTB Segn. 1912-1914 ,Volumi II e III parzialmente intonsi.
2514,"Swift, Jonathan",,"Milano, Mon dadori",Bettoni,1910,BTB Segn. 1915 ,nan
2515,"Swift, Jonathan",Sistema dell’idealismo trascendetale. Gentile,Verona,Laterza,1939,BTB Segn. 1909-1911 ,nan
2516,"Swift, Jonathan",Il sesso e la società. Prefazione di A. Miotto,Madrid,Garzanti,1789,BTB Segn. 1919 ,Postille e pieghe.
2517,"Swift, Jonathan",I mille anni della lingua italiana,"Firenze, Sansoni",All’insegna del pesce d’oro,1911,BTB Segn. 1152 ,nan
2518,"Swift, Jonathan",L’offensiva austriaca nel Trentino,"Milano, All’insegna dl  pesce d’oro",Libreria del Littorio,1942,BTB Segn. 890 ,Dedica dell’autore.
2519,"Swinton, William","Guglielmo Tell. Treviglio Tipografia sociale editrice, s.d. («Collana di letture per ragazzi e giovinetti»)","Roma, Edizioni della Cometa",s.d. («Collana di letture per ragazzi e giovinetti»).,1935,BAL ,nan
2520,"Synge, John Millington", Maria Stuart,Milano,Hoepli,1931,BTB Segn. 677 ,Parzialmente intonso.
2521,"Synge, John Millington", Il visionario; Ossiano; Memorie del conte . Mazzucchetti,", L’elettrotecnica",Mondadori,1934,BTB Segn. 1313 ,nan
2522,"Tacito, Publio Cornelio",,,.,1934,BTB Segn. 1314 ,Intonso.
2523,"Tacito, Publio Cornelio",Storia della letteratura antica e moderna,"Milano, All’insegna del pesce d’oro",Dalla Società Tipografica de’ Classici Italiani,1934,BTB Segn. 1315 ,Pieghe.
2524,"Tacito, Publio Cornelio",Gl’israeliti in rapporto alla scienza nel Medioevo,"Venezia, Neri Pozza",Lombardi,1929,BTB Segn. 1099 ,nan
2525,"Tana, Giambattista","Schleiermacher, Friedrich Daniel Ernst Monologhi",Assemblea straordinaria del 18 settembre,Friedrich Daniel Ernst Monologhi.,1964,BTB Segn. 1102 ,Dedica del curatore.
2526,"Tanizaki, Junichiro","Charles Edouard – Lorentz, Eric  Nouveau manuel complet de l’ingénieur civil ou Traité sur l’application directe des sciences aux arts et manufactures","MilanoComoBergamo, Società Geologica Italiana",Librairie Encyclopédique Roret,1950,BAL ,nan
2527,"Tanzi, Carl’Antonio","Frammenti di storia della filosofia. Milano, Athena, s.d. («Pensatori celebri»)","Firenze, Vallecchi",s.d. («Pensatori celebri»).,1942,BTB Segn. 1100-1101 ,Intonsi.
2528,"Tarchetti, Iginio Ugo", La quadruplice ragione del principio di ragion sufficiente. Traduzione e prefazione di E. KühnAmendola. s.d,"Firenze, Vallecchi",Id. La quadruplice ragione del principio di ragion sufficiente. Traduzione e prefazione di E. KühnAmendola. s.d.,1942,BTB Segn. 1103 ,Sottolineature e postille.
2529,"Tarle, Evgenij Viktorovic", Schopenhauer,Bari,Garzanti,1932,BAL ,nan
2530,"Tasca, Angelo",Carl O. Outlines of Historical Geology,,United States Armed Forces Institute,1952,BTB Segn. 1216 ,nan
2531,"Tasso, Torquato",Schul und ReiseTaschenWörterbuch der italienischen und deutschen Sprache,"Milano, Bompiani",s.d.,1929,BAL ,nan
2532,"Tasso, Torquato",  Piccola grammatica latina,Torino,*  Piccola grammatica latina.,1941,BAL ,nan
2533,"Tasso, Torquato",La musica romantica,Milano,Einaudi,1942,BAL ,nan
2534,"Tasso, Torquato",Commemorazione di Camillo Corsanego tenuta in Genova il 14 giugno,"Milano, Lerici",Commemorazione di Camillo Corsanego tenuta in Genova il 14 giugno,1930,BTB Segn. 891-899 ,"Al volume I, piega; nel volume VIII, segnalibro inserito."
2535,"Tasso, Torquato",Le parrocchie di Regalpetra,Roma,Laterza,1952,BTB Segn. 1565 ,nan
2536,"Teatro elisabettiano. Camerino, N.",L’opuscolo De Insulis nuper inventis,"Milano, Garzanti",Cogliati,1942,BAL ,nan
2537,". Jonson,",Mediocrità,"Lugano, Il Roccolo",Einaudi,1960,BTB Segn. 2265 ,nan
2538,Teatro spagnolo del secolo,Le civette gridano,"Roma, Nuova Antologia",All’insegna del pesce d’oro,1962,BTB Segn. 1317 ,nan
2539,"Tecchi, Bonaventura",Andrees allgemeiner Handatlas. Jubiläumsausgabe,Milano,Velhagen e Klasing,1969,BTB Segn. 1722 ,nan
2540,"Tecchi, Bonaventura",Etnologia,Firenze,Hoepli,1943,BTB Segn. 2310 ,nan
2541,"Tecchi, Bonaventura",Scrittori latini cristiani. A cura e con introduzione di R. De Sanctis e V. Paronetto,MilanoNapoli,Vallecchi,1913,BTB Segn. 678 ,nan
2542,"Tecchi, Bonaventura",Sculture di Alberto Sani. Disegni di Carlotta De Jurco,Milano,s.n.,1928,BTB Segn. 1799-1802 ,Volumi I e III parzialmente intonsi; volumi II e IV intonsi.
2543,"Tecchi, Bonaventura",tempi,TorinoRoma,Istituto italiano di arti grafiche,1891,BTB Segn. 1413-1415 ,nan
2544,"Tecchi, Bonaventura","Scuola professionale macellai: lezioni del primo e del secondo corso. Milano, C.M.M, s.d",Milano,s.d. (data dell’introduzione:,1955,BAL ,nan
